fold,epoch,train_loss,val_auc
1,1,0.018694086681054895,0.6951044937754265
1,2,0.016292117293748923,0.7009597470260662
1,3,0.01586379926863867,0.7099019301742504
1,4,0.015741083431111157,0.71371783598563
1,5,0.015644031347631007,0.7143070602579014
1,6,0.015604919993854834,0.7165641329679391
1,7,0.015551499378173577,0.7201487212765921
1,8,0.015494816500572887,0.7236434618542333
1,9,0.015467071043017984,0.7217390334096558
1,10,0.015438386334968553,0.7237500122214939
1,11,0.015413400546775093,0.725007524189318
1,12,0.015385846626363858,0.7271667877194476
1,13,0.01537667649779605,0.7258597107919177
1,14,0.015356945388735338,0.7288377024069977
1,15,0.015327960394357906,0.7255041325237792
1,16,0.015308043565756817,0.7287815956526738
1,17,0.015293133312246548,0.7295066776359876
1,18,0.015276337933386973,0.727697917851272
1,19,0.015279294369214817,0.729257172909622
1,20,0.015264129567825184,0.7319012205626892
1,21,0.015249317097832822,0.7299514562520087
1,22,0.015244882388863724,0.728137228774574
1,23,0.015246334529502265,0.7276928077235579
1,24,0.015228990452751409,0.7318926566427333
1,25,0.015217199216060566,0.7325980077258855
1,26,0.015189277217893734,0.7325215195498368
1,27,0.015196081199328042,0.7293476214883661
1,28,0.015196450610811527,0.7298155941038701
1,29,0.01517733213780769,0.7320130370053556
1,30,0.015157713176723464,0.7316117080567481
2,1,0.018714274511510778,0.6877141919539745
2,2,0.01628624767416784,0.6983651158920643
2,3,0.01589508249726094,0.7025396557108964
2,4,0.01575901924817588,0.7076155952026036
2,5,0.015671355295178165,0.7104468728499027
2,6,0.01560558834932764,0.7141569164493299
2,7,0.015562134696754647,0.718704437322969
2,8,0.015513619413355488,0.7163223095571984
2,9,0.015490448526478429,0.7212997138612014
2,10,0.015477477127844521,0.7168859930969866
2,11,0.015436264176658186,0.7170041657749215
2,12,0.015422183367334807,0.7207709942241821
2,13,0.015403567133670557,0.7161281587504116
2,14,0.015396453986740168,0.7242148167308526
2,15,0.015368552692428846,0.7230050642316106
2,16,0.015356106110340802,0.7252846879524824
2,17,0.015355150278484721,0.7250697849622514
2,18,0.015332452437403648,0.722522089231049
2,19,0.015302787418780876,0.728545014079674
2,20,0.015301272373143186,0.7265749274482075
2,21,0.015293770431830942,0.7266721356309026
2,22,0.015283410758534073,0.7267880901796635
2,23,0.015258437499644922,0.7268779660630478
2,24,0.015269960222370343,0.7271641620259139
2,25,0.015261757212808093,0.7289535476790205
2,26,0.015247193743738584,0.7279477601724931
2,27,0.01523922221666133,0.7299911445808203
2,28,0.015225319972045109,0.7278249429770255
2,29,0.015209743561661361,0.7243859055909803
2,30,0.015203300956782415,0.7297576539517938
3,1,0.018756366647239706,0.6964206640191627
3,2,0.01636224397471253,0.7083651289616426
3,3,0.01595678014936286,0.7081307788269631
3,4,0.015840392737092143,0.7155985344157372
