fold,epoch,train_loss,val_auc
1,1,0.24609818975971534,0.6957994374875651
1,2,0.22766800462234232,0.7024300306257544
1,3,0.22473045459548507,0.7023803967287277
1,4,0.22237979020444576,0.7061582409141285
1,5,0.22016708352753858,0.7097364415360832
1,6,0.21810279616087583,0.7095381520444719
1,7,0.216701724530512,0.7099315740879977
1,8,0.214710542587651,0.7104042477526086
1,9,0.21341533242659633,0.7093703859856134
1,10,0.2113125864474751,0.7123340263006619
1,11,0.20992562162340497,0.7087770961429607
1,12,0.20864333025137957,0.7107156185839132
1,13,0.20660239412150538,0.7083248717551769
2,1,0.24740649029869055,0.6938926960946789
2,2,0.22873110057913393,0.6975381685399397
2,3,0.22569027546954515,0.6988214557812228
2,4,0.2234766197254338,0.7025481885962628
2,5,0.22145471199142105,0.7040963205059516
2,6,0.219654928700465,0.702520309108089
2,7,0.21789535111322586,0.7054840899166688
2,8,0.21588509431498462,0.7046481529724149
2,9,0.21419953786120416,0.7063155394946452
2,10,0.21275144443887561,0.7015947429268687
2,11,0.21107856049379708,0.7024209445985401
2,12,0.2094247623283103,0.7095482772462313
2,13,0.2079466300189153,0.7031392937917363
2,14,0.20623119624334507,0.7016072548009575
2,15,0.20451153019597645,0.7027465460134319
3,1,0.24760688933066297,0.7001072801842243
3,2,0.23006781279636537,0.7059439713598035
3,3,0.22653368104542676,0.7059064862462598
3,4,0.22455271036909719,0.7124415319433575
3,5,0.2227405080290965,0.7108786265138994
3,6,0.22086889563001066,0.7124390261979552
3,7,0.2191878696578085,0.7165937321300894
3,8,0.21743261261445257,0.7133368715605669
3,9,0.21599067879736766,0.7080373816513887
3,10,0.21449638180236488,0.7118489604869217
4,1,0.24603067660884886,0.701059886256605
4,2,0.22820476604949944,0.7091208705548797
4,3,0.22497719064028593,0.6995141646957324
4,4,0.22287526186380818,0.7027990553378146
4,5,0.2209762382992117,0.7082233023009651
5,1,0.24395037720336477,0.7029249632687707
5,2,0.22685900988930766,0.6996007812037311
5,3,0.22394041361041409,0.7073150759045992
5,4,0.2217960286386074,0.7091605254240736
5,5,0.21977536981156798,0.7100431492398787
5,6,0.21846372149515475,0.7156953436025066
5,7,0.21669508331787107,0.7180455077760718
5,8,0.21476440756626905,0.7135448624822749
5,9,0.21329523685174992,0.7136651344460809
5,10,0.21182962610781286,0.7132504925892579
0,0,,0.7038703096955651
