fold,epoch,train_loss,val_auc
1,1,0.01721176527242332,0.6964352449484998
1,2,0.015999863315791465,0.6975119934839991
1,3,0.01581751012831662,0.7039483773359551
1,4,0.01567896645774615,0.7023036450670324
1,5,0.015540189912322137,0.7035464044284471
1,6,0.015441951304032862,0.7073830945608539
1,7,0.015339539092409156,0.7043176253720557
1,8,0.015232291776078656,0.703406517558527
1,9,0.015109621967788034,0.7035065899618076
2,1,0.016841806943567707,0.7023329478996618
2,2,0.01587542618907129,0.7058620079931304
2,3,0.01566403164748388,0.7058147190774237
2,4,0.015534206496111477,0.7063181742351416
2,5,0.015378250814313588,0.711396331135619
2,6,0.015263214483410198,0.7133804311425925
2,7,0.015171934629464498,0.711146010224483
2,8,0.015040480892718554,0.7118074901755002
2,9,0.014954025141047543,0.7137147698866031
2,10,0.014855471906049618,0.7130003223867747
2,11,0.014759567184844984,0.7133314442074797
2,12,0.01465930336630618,0.7124668008142511
3,1,0.016858988769943198,0.6940986056693198
3,2,0.01575273719466115,0.7017207219434964
3,3,0.015557661183260043,0.701836941950271
3,4,0.015434765806407062,0.7040669186090018
3,5,0.015309979751935432,0.7078051983595635
3,6,0.015187325617264475,0.7024505373362366
3,7,0.01508764642469068,0.7083076084030895
3,8,0.014977062692361445,0.7077599271137294
3,9,0.014890682530853204,0.7062338785727699
3,10,0.014798224543648333,0.7094846582289019
3,11,0.01468647771112205,0.7067051509301002
3,12,0.014614270019151143,0.709045873739877
3,13,0.014515153223713767,0.7065216525323265
4,1,0.016951461761789546,0.7012859314264719
4,2,0.01590607271432084,0.7044696771468015
4,3,0.015727565611188432,0.7089196983404563
4,4,0.015572028013551583,0.7109399877074948
4,5,0.015444113416271745,0.7108878458981128
4,6,0.015328241515094312,0.7135554344985097
4,7,0.015230536401120244,0.7175020188022937
4,8,0.015127210455655616,0.7148544026813929
4,9,0.015068076092343686,0.7119589496289511
4,10,0.014946466456587636,0.7148105238272052
5,1,0.01696519715586132,0.6948444104709204
5,2,0.01584959385968088,0.6924315929522527
5,3,0.015649766488759605,0.6987410045777813
5,4,0.015502711447576681,0.7044551333196055
5,5,0.015381960030188458,0.7025812577141959
5,6,0.01524596106568055,0.7026139452649196
5,7,0.01514345781715372,0.7054626578710981
5,8,0.015038880958752858,0.701935423601088
5,9,0.014941406023800839,0.7073677758479998
5,10,0.014841346742063527,0.7013710686754531
5,11,0.014778866904341248,0.7072408533011252
5,12,0.014669785661312927,0.7048035591872356
